comune,pro_com,provincia,data_inizio,data_fine,link_ordinanza,nro_data_ordinanza,proroga/cessa,PDF,nro_pgg,sovrapposizione,cessa,nro_ordinanza,data_ordinanza,area_kmq,pop_2020,note,zona
Mazzarino,85009,Caltanissetta,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,Sì,Immagine,7,,,41,2022-04-14,295.59,11445,,rossa
Pietraperzia,86015,Enna,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,Sì,Immagine,7,,,41,2022-04-14,118.11,6631,,rossa
Regalbuto,86016,Enna,2021-04-14,2021-04-22,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-41-14042021.pdf,41-14042022,Sì,Immagine,7,,,41,2022-04-14,170.29,6993,,rossa
Acireale,87004,Catania,2021-04-17,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-42-15042021.pdf,42-15042021,No,Immagine,6,,,42,2021-04-15,40.44,51876,,rossa
Carlentini,89006,Siracusa,2021-04-17,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-42-15042021.pdf,42-15042021,No,Immagine,6,,,42,2021-04-15,158.91,17461,,rossa
Lentini,89011,Siracusa,2021-04-17,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-42-15042021.pdf,42-15042021,No,Immagine,6,,,42,2021-04-15,216.78,22979,,rossa
Marianopoli,85008,Caltanissetta,2021-04-17,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-42-15042021.pdf,42-15042021,No,Immagine,6,,,42,2021-04-15,13.07,1737,,rossa
Palma di Montechiaro,84027,Agrigento,2021-04-17,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-42-15042021.pdf,42-15042021,No,Immagine,6,,,42,2021-04-15,77.06,22262,,rossa
Resuttano,85014,Caltanissetta,2021-04-17,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-42-15042021.pdf,42-15042021,No,Immagine,6,,,42,2021-04-15,38.27,1862,,rossa
Aci Catena,87003,Catania,2021-04-18,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-43-16042021.pdf,43-16042021,No,Testo,6,,,43,2021-04-16,8.52,28856,,rossa
Adrano,87006,Catania,2021-04-18,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-43-16042021.pdf,43-16042021,No,Testo,6,,,43,2021-04-16,83.22,35211,,rossa
Giardini-Naxos,83032,Messina,2021-04-18,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-43-16042021.pdf,43-16042021,No,Testo,6,,,43,2021-04-16,5.29,9337,,rossa
Mistretta,83052,Messina,2021-04-18,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-43-16042021.pdf,43-16042022,No,Testo,6,,,43,2022-04-16,127.47,4554,,rossa
Buccheri,89003,Siracusa,2021-04-19,2021-04-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-44-17042021.pdf,44-17042021,No,Testo,6,,,44,2021-04-17,57.83,1889,,rossa
Ferla,89008,Siracusa,2021-04-19,2021-04-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-44-17042021.pdf,44-17042021,No,Testo,6,,,44,2021-04-17,24.9,2400,,rossa
Longi,83042,Messina,2021-04-21,2021-04-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-45-19042021.pdf,45-19042021,No,Immagine,6,,,45,2021-04-19,42.11,1374,,rossa
Montallegro,84024,Agrigento,2021-04-21,2021-04-30,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/ordinanza-45-19042021.pdf,45-19042021,No,Immagine,6,,,45,2021-04-19,27.41,2484,,rossa
Palermo,82053,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,160.59,657960,,rossa
Acquaviva Platani,85001,Caltanissetta,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,14.63,918,,rossa
Alimena,82002,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,59.7,1915,,rossa
Bagheria,82006,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,29.84,54620,,rossa
Baucina,82008,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,24.47,1915,,rossa
Belmonte Mezzagno,82009,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,29.29,11144,,rossa
Biancavilla,87008,Catania,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,70.28,23668,,rossa
Borgetto,82013,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,26.02,7338,,rossa
Carini,82021,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,76.59,39185,,rossa
Casteldaccia,82023,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,33.92,11682,,rossa
Cattolica Eraclea,84014,Agrigento,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,62.16,3491,,rossa
Centuripe,86007,Enna,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,174.19,5272,,rossa
Cinisi,82031,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,33.16,12240,,rossa
Giardinello,82038,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,12.88,2306,,rossa
Giuliana,82039,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,24.14,1802,,rossa
Lampedusa e Linosa,84020,Agrigento,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,25.22,6494,,rossa
Lascari,82044,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,10.33,3647,,rossa
Mezzojuso,82047,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,49.25,2797,,rossa
Misilmeri,82048,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,69.49,29292,,rossa
Monreale,82049,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,530.18,38963,,rossa
Partinico,82054,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,108.06,31569,,rossa
Piana degli Albanesi,82057,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,64.92,5924,,rossa
Pietraperzia,86015,Enna,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,118.11,6631,,rossa
San Cipirello,82063,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,20.85,5212,,rossa
Santa Cristina Gela,82066,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,38.74,997,,rossa
Termini Imerese,82070,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,76.69,25889,,rossa
Torretta,82072,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,76.69,25889,,rossa
Villabate,82079,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,25.54,4319,,rossa
Villafrati,82080,Palermo,2021-04-23,2021-04-28,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,Sì,Testo,6,,,46,2021-04-22,3.8,19965,,rossa
Fiumedinisi,83021,Messina,2021-04-24,2021-05-05,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,No,Testo,6,,,46,2021-04-22,25.64,3271,,rossa
Gela,85007,Caltanissetta,2021-04-24,2021-05-05,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,No,Testo,6,,,46,2021-04-22,279.22,74075,,rossa
Randazzo,87038,Catania,2021-04-24,2021-05-05,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,No,Testo,6,,,46,2021-04-22,205.61,10591,,rossa
Troina,86018,Enna,2021-04-24,2021-05-05,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2046%20del%2022%20aprile%202021(firmato).pdf,46-22042021,No,Testo,6,,,46,2021-04-22,168.28,8952,,rossa
Sortino,89019,Siracusa,2021-04-28,2021-05-05,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-47-26042021.pdf,47-26042021,No,Testo,5,,,47,2021-04-26,93.33,8414,,rossa
Mineo,87027,Catania,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-48-27042021.pdf,48-27042021,No,Testo,5,,,48,2021-04-27,245.27,5251,,rossa
Serradifalco,85018,Caltanissetta,2021-04-30,2021-05-12,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,No,Testo,6,,,49,2021-04-28,41.94,5792,,rossa
Tortorici,83099,Messina,2021-04-30,2021-05-12,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,No,Testo,6,,,49,2021-04-28,70.5,6045,,rossa
Tusa,83101,Messina,2021-04-30,2021-05-12,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,No,Testo,6,,,49,2021-04-28,41.07,2718,,rossa
Aci Catena,87003,Catania,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,8.52,28856,,rossa
Adrano,87006,Catania,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,83.22,35211,,rossa
Baucina,82008,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,24.47,1915,,rossa
Belmonte Mezzagno,82009,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,29.29,11144,,rossa
Borgetto,82013,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,26.02,7338,,rossa
Catenanuova,86006,Enna,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,11.22,4636,,rossa
Cerami,86008,Enna,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,95.05,1916,,rossa
Cinisi,82031,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,33.16,12240,,rossa
Giardinello,82038,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,12.88,2306,,rossa
Lampedusa e Linosa,84020,Agrigento,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,25.22,6494,,rossa
Lascari,82044,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,10.33,3647,,rossa
Lentini,89011,Siracusa,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,216.78,22979,,rossa
Marianopoli,85008,Caltanissetta,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,13.07,1737,,rossa
Mezzojuso,82047,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,49.25,2797,,rossa
Misilmeri,82048,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,69.49,29292,,rossa
Monreale,82049,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,530.18,38963,,rossa
Mussomeli,85012,Caltanissetta,2021-04-29,2021-05-03,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,51-03052021,,49,2021-04-28,164.42,10262,,rossa
Partinico,82054,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,108.06,31569,,rossa
Termini Imerese,82070,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,76.69,25889,,rossa
Villabate,82079,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,3.8,19965,,rossa
Villafrati,82080,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,25.64,3271,,rossa
Caccamo,82014,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,188.23,7997,,rossa
Campofiorito,82018,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,21.7,1209,,rossa
Cefalù,82027,Palermo,2021-04-29,2021-05-05,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-49-28042021.pdf,49-28042021,Sì,Testo,6,,,49,2021-04-28,66.24,14155,,rossa
Nizza di Sicilia,83061,Messina,2021-05-02,2021-05-12,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2050%20del%2030%20aprile%202021.pdf,50-30042021,No,Testo,6,,,50,2021-04-30,13.42,3628,,rossa
Ravanusa,84031,Agrigento,2021-05-02,2021-05-12,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2050%20del%2030%20aprile%202021.pdf,50-30042021,No,Testo,6,,,50,2021-04-30,49.5,11108,,rossa
Santa Caterina Villarmosa,85017,Caltanissetta,2021-05-02,2021-05-10,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2050%20del%2030%20aprile%202021.pdf,50-30042021,No,Testo,6,54-10052021,,50,2021-04-30,75.81,5039,,rossa
Longi,83042,Messina,2021-05-01,2021-05-07,https://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza%20n.%2050%20del%2030%20aprile%202021.pdf,50-30042021,Sì,Testo,6,,,50,2021-04-30,42.11,1374,,rossa
Corleone,82034,Palermo,2021-05-05,2021-05-19,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/152963604.PDF,51-03052021,No,Testo,6,,,51,2021-05-03,229.45,10855,,rossa
Baucina,82008,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,24.47,1915,,rossa
Belmonte Mezzagno,82009,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,29.29,11144,,rossa
Bolognetta,82011,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,27.63,4138,,rossa
Cefalù,82027,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,66.24,14155,,rossa
Cerami,86008,Enna,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,95.05,1916,,rossa
Fiumedinisi,83021,Messina,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,36.69,1332,,rossa
Gela,85007,Caltanissetta,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,279.22,74075,,rossa
Giardinello,82038,Palermo,2021-05-06,2021-05-12,http://pti.regione.sicilia.it/portal/page/portal/PIR_PORTALE/PIR_Covid19OrdinanzePresidenzadellaRegione/Ordinanza-52-05052021.pdf,52-05052021,Sì,Immagine,7,,,52,2021-05-05,12.88,2306,,rossa
